أزْرَق;blue (M)
جَمِيلاً;beautiful (M)
مُتْعَب;tired (M)
قَرِيب;near (M)
مُعتَدِل;moderate (M)
جَدِيد;new (M)
بخيل;stingy (M)
الأفضَل;the best (M)
مِغَيِّم;cloudy (M)
نائِم;asleep (M)
نَظِيف;clean (M)
ذَهَبِي;golden (M)
الثالِث;third (M)
رَمادِي;gray (M)
نايِم;asleep (M)
ضَبَابِي;foggy (M)
صَفراء;yellow (F)
لَذِيذ;delicious (M)
العاشِر;tenth (M)
حَمْراء;red (F)
سَعِيد;happy (M)
بُرتُقالِي;orange (M)
وَردِي;pink (M)
خاسِر;loser (M)
جَوْعان;hungry (M)
جَمِيلاتٌ;beautiful (plural, feminine) (F)
مرهَق;exhausted (M)
الثانِي;the second (M)
الخامِس;fifth (M)
عَنيد;stubborn (M)
شَدِيد;strong (M)
تَعبان;tired (M)
التاسِع;ninth (M)
بَعِيد;far (M)
خَفِيفَة;light (F)
سوداء;black (F)
بَارِد;cold (M)
مُشمِس;sunny (M)
السابِع;seventh (M)
أبْيَض;white (M)
ضَيِّق;tight (M)
أُخرَى;other (F)
رخيص;cheap (M)
حَمَراَ;red (F)
خَضراء;green (F)
بيَضاء;white (F)
أسوَد;black (M)
ذَهبِيَة;golden (F)
دِراسيَّة;academic (F)
بارِداً;cold (M)
أقرَب;closer (M)
غَاضِب;angry (M)
ضَال;astray (M)
الفاقِد;the missing (M)
مَمنُوع;forbidden (M)
قَليل;little (M)
دَافِئ;warm (M)
الكَبِيرَةُ;the big, the large (F)
عَالِي;high (M)
بَنفسَجِيَة;purple (F)
غني;rich (M)
المعلوم;the known (M)
جَمِيل;beautiful (M)
كَثِير;many, much (M)
ثَقِيلَة;heavy (F)
عادي;normal (M)
غَضبان;angry (M)
عَطْشان;thirsty (M)
مُمطِر;rainy (M)
بَنفسَجِي;purple (M)
جَمِيلَةٌ;beautiful (F)
قَبِيح;ugly (M)
رَمادِيَة;gray (F)
أوَل;first (M)
وَردِيَة;pink (F)
كَبير;big (M)
فَضِّيَة;silver (F)
السادِس;sixth (M)
الرابِع;the fourth (M)
زرْقاء;blue (feminine) (F)
فَارِغَة;empty (F)
ثلاثْ عَشر;thirteen (F)
مايِت;dead (M)
مَيِّت;dead (M)
الكَبِيرُ;the great (M)
وَاحِد;one (M)
أصفَر;yellow (M)
مُمكِن;possible (M)
بِيضا;white (F)
نعسان;sleepy (M)
مُذكَّر;masculine (M)
حاضر;present (M)
الحازِن;the sad (M)
وَاجِد;finder (M)
أحمَر;red (M)
شَدِيد البِرُودَة;very cold (M)
جُملاءٌ;colleagues (M)
غَرِيب;strange (M)
واحِدَة;one (F)
مُتأكِد;certain (M)
نُص نُص;fifty-fifty (M)
مُستقِيم;straight (M)
وَاسِع;wide (M)
كَذَّاب;liar (M)
أخضَر;green (M)
مَريض;sick (M)
حَزِين;sad (M)
حَار;hot (M)
غالِب;victorious (M)
أكثَر;more (M)
الثامِن;the eighth (M)
نَظِيفَة;clean (F)
القادِم;next (M)
